year,avg_temp
1743,2.77
1744,10.19
1745,-1.12
1746,
1747,
1748,
1749,
1750,8.34
1751,8.84
1752,1.64
1753,7.87
1754,8.15
1755,5.12
1756,8.59
1757,7.29
1758,6.47
1759,7.39
1760,5.97
1761,8.36
1762,7.85
1763,5.54
1764,8.03
1765,7.37
1766,8.38
1767,6.97
1768,6.89
1769,7.54
1770,7.44
1771,8.41
1772,8.05
1773,8.34
1774,7.86
1775,8.73
1776,7.84
1777,7.32
1778,5.54
1779,8.25
1780,10.54
1781,8.07
1782,7.51
1783,7.22
1784,7.00
1785,6.94
1786,7.46
1787,7.47
1788,8.12
1789,7.82
1790,7.75
1791,7.84
1792,7.26
1793,8.13
1794,8.16
1795,7.71
1796,7.56
1797,7.33
1798,8.18
1799,7.76
1800,7.92
1801,8.31
1802,8.56
1803,8.37
1804,8.15
1805,8.62
1806,7.82
1807,7.61
1808,7.79
1809,7.03
1810,7.37
1811,7.49
1812,6.13
1813,7.41
1814,7.24
1815,6.65
1816,6.16
1817,6.25
1818,6.90
1819,7.21
1820,7.22
1821,6.91
1822,7.88
1823,7.11
1824,7.55
1825,8.59
1826,8.37
1827,8.21
1828,9.08
1829,7.63
1830,8.47
1831,7.00
1832,8.07
1833,8.06
1834,8.36
1835,7.43
1836,6.42
1837,7.16
1838,6.71
1839,7.74
1840,8.05
1841,7.46
1842,7.97
1843,7.00
1844,8.13
1845,8.17
1846,8.58
1847,7.28
1848,7.86
1849,7.43
1850,7.65
1851,7.73
1852,7.46
1853,8.05
1854,8.31
1855,7.39
1856,6.35
1857,6.74
1858,8.16
1859,7.80
1860,7.72
1861,7.69
1862,7.48
1863,7.51
1864,7.46
1865,7.89
1866,6.93
1867,7.17
1868,6.68
1869,6.81
1870,8.33
1871,7.56
1872,6.78
1873,6.92
1874,7.84
1875,5.69
1876,7.48
1877,8.48
1878,8.94
1879,7.68
1880,8.45
1881,8.45
1882,8.06
1883,6.50
1884,7.46
1885,6.04
1886,7.25
1887,7.59
1888,6.68
1889,7.97
1890,8.06
1891,8.30
1892,7.43
1893,7.01
1894,8.65
1895,7.08
1896,7.99
1897,7.95
1898,8.66
1899,8.04
1900,8.53
1901,7.67
1902,7.76
1903,7.74
1904,6.22
1905,7.34
1906,8.38
1907,6.92
1908,8.30
1909,7.92
1910,7.73
1911,8.62
1912,7.01
1913,8.59
1914,7.65
1915,7.85
1916,7.75
1917,5.96
1918,7.80
1919,8.66
1920,7.43
1921,9.75
1922,8.62
1923,7.74
1924,6.79
1925,7.70
1926,6.77
1927,8.27
1928,7.97
1929,7.60
1930,8.45
1931,9.59
1932,8.66
1933,8.93
1934,7.90
1935,7.72
1936,7.82
1937,8.15
1938,8.96
1939,8.58
1940,7.16
1941,9.00
1942,8.33
1943,7.51
1944,8.50
1945,7.91
1946,9.07
1947,8.21
1948,8.27
1949,9.52
1950,7.67
1951,8.15
1952,8.94
1953,9.39
1954,8.55
1955,9.06
1956,8.12
1957,8.41
1958,7.60
1959,8.66
1960,7.92
1961,8.41
1962,7.88
1963,7.46
1964,8.50
1965,7.90
1966,7.93
1967,7.84
1968,8.11
1969,8.11
1970,8.29
1971,8.52
1972,7.55
1973,9.30
1974,8.09
1975,8.80
1976,7.51
1977,8.17
1978,7.20
1979,7.75
1980,7.61
1981,8.12
1982,8.13
1983,8.81
1984,8.37
1985,8.37
1986,8.59
1987,9.35
1988,8.58
1989,7.84
1990,9.48
1991,9.72
1992,8.05
1993,8.11
1994,8.11
1995,8.52
1996,7.85
1997,8.09
1998,10.60
1999,9.53
2000,8.67
2001,9.63
2002,9.45
2003,8.12
2004,8.63
2005,9.05
2006,9.83
2007,9.14
2008,8.61
2009,8.38
2010,9.47
2011,9.32
2012,10.51
2013,10.11
