year,city,country,avg_temp
1743,London,Canada,2.77
1744,London,Canada,10.19
1745,London,Canada,-1.12
1746,London,Canada,
1747,London,Canada,
1748,London,Canada,
1749,London,Canada,
1750,London,Canada,8.34
1751,London,Canada,8.84
1752,London,Canada,1.64
1753,London,Canada,7.87
1754,London,Canada,8.15
1755,London,Canada,5.12
1756,London,Canada,8.59
1757,London,Canada,7.29
1758,London,Canada,6.47
1759,London,Canada,7.39
1760,London,Canada,5.97
1761,London,Canada,8.36
1762,London,Canada,7.85
1763,London,Canada,5.54
1764,London,Canada,8.03
1765,London,Canada,7.37
1766,London,Canada,8.38
1767,London,Canada,6.97
1768,London,Canada,6.89
1769,London,Canada,7.54
1770,London,Canada,7.44
1771,London,Canada,8.41
1772,London,Canada,8.05
1773,London,Canada,8.34
1774,London,Canada,7.86
1775,London,Canada,8.73
1776,London,Canada,7.84
1777,London,Canada,7.32
1778,London,Canada,5.54
1779,London,Canada,8.25
1780,London,Canada,10.54
1781,London,Canada,8.07
1782,London,Canada,7.51
1783,London,Canada,7.22
1784,London,Canada,7.00
1785,London,Canada,6.94
1786,London,Canada,7.46
1787,London,Canada,7.47
1788,London,Canada,8.12
1789,London,Canada,7.82
1790,London,Canada,7.75
1791,London,Canada,7.84
1792,London,Canada,7.26
1793,London,Canada,8.13
1794,London,Canada,8.16
1795,London,Canada,7.71
1796,London,Canada,7.56
1797,London,Canada,7.33
1798,London,Canada,8.18
1799,London,Canada,7.76
1800,London,Canada,7.92
1801,London,Canada,8.31
1802,London,Canada,8.56
1803,London,Canada,8.37
1804,London,Canada,8.15
1805,London,Canada,8.62
1806,London,Canada,7.82
1807,London,Canada,7.61
1808,London,Canada,7.79
1809,London,Canada,7.03
1810,London,Canada,7.37
1811,London,Canada,7.49
1812,London,Canada,6.13
1813,London,Canada,7.41
1814,London,Canada,7.24
1815,London,Canada,6.65
1816,London,Canada,6.16
1817,London,Canada,6.25
1818,London,Canada,6.90
1819,London,Canada,7.21
1820,London,Canada,7.22
1821,London,Canada,6.91
1822,London,Canada,7.88
1823,London,Canada,7.11
1824,London,Canada,7.55
1825,London,Canada,8.59
1826,London,Canada,8.37
1827,London,Canada,8.21
1828,London,Canada,9.08
1829,London,Canada,7.63
1830,London,Canada,8.47
1831,London,Canada,7.00
1832,London,Canada,8.07
1833,London,Canada,8.06
1834,London,Canada,8.36
1835,London,Canada,7.43
1836,London,Canada,6.42
1837,London,Canada,7.16
1838,London,Canada,6.71
1839,London,Canada,7.74
1840,London,Canada,8.05
1841,London,Canada,7.46
1842,London,Canada,7.97
1843,London,Canada,7.00
1844,London,Canada,8.13
1845,London,Canada,8.17
1846,London,Canada,8.58
1847,London,Canada,7.28
1848,London,Canada,7.86
1849,London,Canada,7.43
1850,London,Canada,7.65
1851,London,Canada,7.73
1852,London,Canada,7.46
1853,London,Canada,8.05
1854,London,Canada,8.31
1855,London,Canada,7.39
1856,London,Canada,6.35
1857,London,Canada,6.74
1858,London,Canada,8.16
1859,London,Canada,7.80
1860,London,Canada,7.72
1861,London,Canada,7.69
1862,London,Canada,7.48
1863,London,Canada,7.51
1864,London,Canada,7.46
1865,London,Canada,7.89
1866,London,Canada,6.93
1867,London,Canada,7.17
1868,London,Canada,6.68
1869,London,Canada,6.81
1870,London,Canada,8.33
1871,London,Canada,7.56
1872,London,Canada,6.78
1873,London,Canada,6.92
1874,London,Canada,7.84
1875,London,Canada,5.69
1876,London,Canada,7.48
1877,London,Canada,8.48
1878,London,Canada,8.94
1879,London,Canada,7.68
1880,London,Canada,8.45
1881,London,Canada,8.45
1882,London,Canada,8.06
1883,London,Canada,6.50
1884,London,Canada,7.46
1885,London,Canada,6.04
1886,London,Canada,7.25
1887,London,Canada,7.59
1888,London,Canada,6.68
1889,London,Canada,7.97
1890,London,Canada,8.06
1891,London,Canada,8.30
1892,London,Canada,7.43
1893,London,Canada,7.01
1894,London,Canada,8.65
1895,London,Canada,7.08
1896,London,Canada,7.99
1897,London,Canada,7.95
1898,London,Canada,8.66
1899,London,Canada,8.04
1900,London,Canada,8.53
1901,London,Canada,7.67
1902,London,Canada,7.76
1903,London,Canada,7.74
1904,London,Canada,6.22
1905,London,Canada,7.34
1906,London,Canada,8.38
1907,London,Canada,6.92
1908,London,Canada,8.30
1909,London,Canada,7.92
1910,London,Canada,7.73
1911,London,Canada,8.62
1912,London,Canada,7.01
1913,London,Canada,8.59
1914,London,Canada,7.65
1915,London,Canada,7.85
1916,London,Canada,7.75
1917,London,Canada,5.96
1918,London,Canada,7.80
1919,London,Canada,8.66
1920,London,Canada,7.43
1921,London,Canada,9.75
1922,London,Canada,8.62
1923,London,Canada,7.74
1924,London,Canada,6.79
1925,London,Canada,7.70
1926,London,Canada,6.77
1927,London,Canada,8.27
1928,London,Canada,7.97
1929,London,Canada,7.60
1930,London,Canada,8.45
1931,London,Canada,9.59
1932,London,Canada,8.66
1933,London,Canada,8.93
1934,London,Canada,7.90
1935,London,Canada,7.72
1936,London,Canada,7.82
1937,London,Canada,8.15
1938,London,Canada,8.96
1939,London,Canada,8.58
1940,London,Canada,7.16
1941,London,Canada,9.00
1942,London,Canada,8.33
1943,London,Canada,7.51
1944,London,Canada,8.50
1945,London,Canada,7.91
1946,London,Canada,9.07
1947,London,Canada,8.21
1948,London,Canada,8.27
1949,London,Canada,9.52
1950,London,Canada,7.67
1951,London,Canada,8.15
1952,London,Canada,8.94
1953,London,Canada,9.39
1954,London,Canada,8.55
1955,London,Canada,9.06
1956,London,Canada,8.12
1957,London,Canada,8.41
1958,London,Canada,7.60
1959,London,Canada,8.66
1960,London,Canada,7.92
1961,London,Canada,8.41
1962,London,Canada,7.88
1963,London,Canada,7.46
1964,London,Canada,8.50
1965,London,Canada,7.90
1966,London,Canada,7.93
1967,London,Canada,7.84
1968,London,Canada,8.11
1969,London,Canada,8.11
1970,London,Canada,8.29
1971,London,Canada,8.52
1972,London,Canada,7.55
1973,London,Canada,9.30
1974,London,Canada,8.09
1975,London,Canada,8.80
1976,London,Canada,7.51
1977,London,Canada,8.17
1978,London,Canada,7.20
1979,London,Canada,7.75
1980,London,Canada,7.61
1981,London,Canada,8.12
1982,London,Canada,8.13
1983,London,Canada,8.81
1984,London,Canada,8.37
1985,London,Canada,8.37
1986,London,Canada,8.59
1987,London,Canada,9.35
1988,London,Canada,8.58
1989,London,Canada,7.84
1990,London,Canada,9.48
1991,London,Canada,9.72
1992,London,Canada,8.05
1993,London,Canada,8.11
1994,London,Canada,8.11
1995,London,Canada,8.52
1996,London,Canada,7.85
1997,London,Canada,8.09
1998,London,Canada,10.60
1999,London,Canada,9.53
2000,London,Canada,8.67
2001,London,Canada,9.63
2002,London,Canada,9.45
2003,London,Canada,8.12
2004,London,Canada,8.63
2005,London,Canada,9.05
2006,London,Canada,9.83
2007,London,Canada,9.14
2008,London,Canada,8.61
2009,London,Canada,8.38
2010,London,Canada,9.47
2011,London,Canada,9.32
2012,London,Canada,10.51
2013,London,Canada,10.11
